id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9935894,Spacious living area near Q and 6 train! :),19242683,Jennifer,Manhattan,East Harlem,40.78929,-73.94178,Shared room,70,1,4,2016-12-27,0.09,1,0
30941095,Minutes to Manhattan,69713712,Trevor,Bronx,Hunts Point,40.81389,-73.88914,Private room,70,2,1,2018-12-30,0.16,1,342
18992110,Charming Nolita Apartment,12420115,Constanze,Manhattan,Lower East Side,40.7197,-73.99331,Entire home/apt,170,1,16,2019-02-18,0.63,1,0
26780658,Cozy gem in Greenwich Village @ border of SoHo,27960761,Christopher,Manhattan,Greenwich Village,40.72704,-73.99672,Entire home/apt,199,2,9,2019-04-23,0.82,3,0
7158417,Dov & Naomi's Beautiful Apt.,15878233,Dov,Brooklyn,Kensington,40.64456,-73.97723,Entire home/apt,115,4,3,2018-07-31,0.09,1,0
24356861,COZY & BEAUTIFUL 1bdrm in Upper NYC,6517654,Erin,Manhattan,Washington Heights,40.8385,-73.94288,Entire home/apt,125,3,6,2019-05-29,0.42,1,0
9759444,Beautiful apartment in Park Slope,13342524,Carola,Brooklyn,South Slope,40.66352,-73.98488,Entire home/apt,100,3,6,2017-01-04,0.14,1,0
11696801,Large Private Room in 3 bdr apt-East Village,33214549,Alexandre,Manhattan,East Village,40.72573,-73.98406,Private room,119,1,1,2019-04-29,0.42,5,0
15789023,Stay in a Private Room Close to Manhattan :),8076496,Agnes,Queens,Astoria,40.76982,-73.93501,Private room,60,4,6,2019-06-06,0.28,1,96
34473487,Sophisticated 3 Bedroom/ 2Bath in Union Square NYC,231548638,Emile,Manhattan,East Village,40.73081,-73.98876,Entire home/apt,549,5,8,2019-06-26,4.29,1,155
31802275,Coral Harlem Studio,8895249,Kenya,Manhattan,Harlem,40.82297,-73.93948,Private room,54,2,12,2019-06-26,2.83,1,129
16027606,Parlour Apartment in PreWar Home,104262874,James,Brooklyn,Bedford-Stuyvesant,40.67776,-73.92754,Shared room,40,4,17,2018-10-08,0.53,1,0
34976973,JFK park view,245457246,Nurul,Queens,South Ozone Park,40.67101,-73.78943,Entire home/apt,248,2,2,2019-06-23,1.3,1,354
27632141,"Cozy BK Home,Near JMZ lines,15-25 min to Manhattan",70997341,Kriti,Brooklyn,Bushwick,40.69768,-73.93511,Private room,59,2,26,2019-06-18,2.39,1,0
11438189,Everything you need in NYC! 3BR,4422962,Remo,Brooklyn,Bedford-Stuyvesant,40.67834,-73.92442,Entire home/apt,135,30,155,2019-05-21,3.97,1,281
6869940,Furnished Room in a Spacious Apt,731601,Idil,Queens,Astoria,40.77199,-73.93159,Private room,55,15,1,2015-08-13,0.02,2,0
34254505,"2 Bedroom, sleeps 6, Luxury apt, outside of NYC!",254637078,Nicholas,Brooklyn,Greenpoint,40.73339,-73.95271,Entire home/apt,200,1,2,2019-06-23,2.0,1,229
29779831,Bedstuy Artists Quarter (tower corner room),18272280,Louis,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94179,Private room,43,1,10,2019-04-28,1.33,2,2
2012104,"Spacious haven near Riverside park, subway, and CU",10352213,Nicole,Manhattan,Morningside Heights,40.81615,-73.96156,Private room,55,2,19,2018-01-08,0.79,2,0
4823910,Spacious and light-filled Manhattan apartment,10503302,Florence,Manhattan,Upper West Side,40.79228,-73.97414,Entire home/apt,117,14,0,,,1,15
28732998,Quintessential Tribeca Loft,3612407,Mag,Manhattan,Tribeca,40.7172,-74.00675,Entire home/apt,295,3,3,2018-12-08,0.33,1,17
30694768,A Relaxing Place in Inwood,188050970,Walkiria,Manhattan,Inwood,40.85962,-73.92971,Private room,65,1,25,2019-06-26,3.89,1,86
1684053,Arverne By The Bay Private Room & Bathroom,762610,Christopher,Queens,Arverne,40.59684,-73.79449,Private room,35,2,201,2019-06-18,3.28,2,88
28584472,Art gallery apartment in the center of Manhattan,50462097,Jirayus,Manhattan,Hell's Kitchen,40.76435,-73.9875,Entire home/apt,199,2,35,2019-07-05,4.29,1,200
12290567,Clean studio apartment for sleeping,66240027,Bianca,Brooklyn,Prospect-Lefferts Gardens,40.66158,-73.95999,Entire home/apt,40,1,2,2016-04-28,0.05,1,0
35062211,New Cozy Suite in Private home on quiet street .,30267389,Chandraki,Bronx,Wakefield,40.89323,-73.85215,Private room,160,2,0,,,1,364
658008,Secret Garden,3317183,Claire,Brooklyn,Bedford-Stuyvesant,40.6883,-73.95375,Entire home/apt,75,3,163,2019-06-19,1.96,2,218
15968041,Wyndham Midtown 45 King Suite Times Square NYC,57574248,Christine,Manhattan,Midtown,40.75361,-73.97215,Entire home/apt,175,3,0,,,3,0
16364666,Brand New &Cozy  Room Close to Subway Station,61042,Marlon,Manhattan,Harlem,40.82112,-73.95482,Private room,45,4,22,2018-12-31,0.71,6,0
12223159,Bright Modern Greenwich Village 1BR,9545279,Mitchell,Manhattan,Greenwich Village,40.72837,-73.99952,Entire home/apt,210,1,58,2019-07-06,1.49,1,2
13348000,"Home*Sweet*Home
Quiet neighborhood",69546772,Dave And Shaceline,Bronx,Throgs Neck,40.83166,-73.81747,Entire home/apt,89,1,192,2019-06-26,5.15,1,303
25234555,Adorable Room in Spacious Brooklyn Home,116291711,Maggie,Brooklyn,Crown Heights,40.66918,-73.9475,Private room,40,1,3,2018-06-17,0.22,1,0
2088725,Beautiful renovated 1 bedroom Apt.,10661536,Edgar,Brooklyn,Gowanus,40.66983,-73.9904,Entire home/apt,124,4,52,2019-06-30,0.8,1,147
4412533,cozy tucked away in el barrio,22904933,Charlene,Manhattan,East Harlem,40.79765,-73.94022,Private room,79,3,56,2019-05-27,1.1,2,90
32549565,Sunny Chelsea Loft,10414780,Matan,Manhattan,Chelsea,40.74149,-73.99701,Entire home/apt,139,3,4,2019-05-28,1.17,1,58
3898329,Best views of Manhattan!,20177186,Ted,Manhattan,Financial District,40.70943,-74.01405,Entire home/apt,200,2,6,2015-10-12,0.1,1,0
30747562,BedStuy cozy + convenient private room and bath,2581995,Layla,Brooklyn,Bedford-Stuyvesant,40.68061,-73.91693,Private room,37,1,29,2019-06-19,4.58,2,10
12955281,Comfortable 1-2 bed space close to trains,25733361,Jon,Brooklyn,Bedford-Stuyvesant,40.70017,-73.94357,Entire home/apt,115,3,2,2016-07-05,0.05,1,0
32490805,Spacious Apartment Near Central Park (Manhattan),151460365,King-Lyndon,Manhattan,East Harlem,40.7984,-73.94267,Entire home/apt,100,2,16,2019-06-26,3.58,1,8
32308362,Quiet Mid-Century Modern Apartment,99763169,Ashlin,Manhattan,Upper West Side,40.77995,-73.98464,Entire home/apt,220,2,3,2019-04-29,0.62,1,36
737126,Williamsburg Loft!! Bedford L 1blk!,3847832,Eric,Brooklyn,Williamsburg,40.71714,-73.95447,Shared room,195,2,80,2017-05-26,0.98,1,364
2461540,Big BR 15 min away from Manhattan,12587147,Joao,Queens,Astoria,40.75799,-73.92006,Private room,75,7,186,2019-06-10,2.93,1,193
36394726,1 bed available in a 2bd/1ba Bushwick Gem,239638986,Marné,Brooklyn,Bushwick,40.69287,-73.92289,Private room,125,1,0,,,1,175
30531246,"Luxury Apt, 1 BR, Stainless Steel Appliances",226201658,Vanessa,Brooklyn,Williamsburg,40.70755,-73.94892,Entire home/apt,90,30,2,2019-04-05,0.45,3,314
32936398,UES Apartment near Central Park(20 mins TimesSq),239658197,Shawn,Manhattan,East Harlem,40.79153,-73.94138,Entire home/apt,180,1,4,2019-06-30,1.54,1,32
13622454,"Large 1 Bed/1 Bath by Central Park, Hunter College",78912246,Priya,Manhattan,Upper East Side,40.76711,-73.96177,Entire home/apt,199,1,3,2016-10-01,0.09,1,0
30388284,"Cozy, Bright 2BR in Hip LES w/ Large terrace by Blueground",107434423,Blueground,Manhattan,Lower East Side,40.71856,-73.99061,Entire home/apt,314,90,0,,,232,208
1101224,THE PUTNAM,2571,Teedo,Brooklyn,Bedford-Stuyvesant,40.68674,-73.93845,Entire home/apt,182,9,27,2019-05-21,0.37,1,23
7181422,Cute 1br in Williamsburg,4993337,Stephanie,Brooklyn,Williamsburg,40.71044,-73.953,Entire home/apt,110,1,2,2015-08-10,0.04,1,0
34415448,Wall St - FiDi - Art Deco Luxury Apartment,2126138,Alwin,Manhattan,Financial District,40.70471,-74.0087,Entire home/apt,160,2,3,2019-06-23,2.0,1,8
732700,Centrally located and spacious apt.,3815537,Reshma,Manhattan,Midtown,40.75154,-73.97104,Entire home/apt,106,7,10,2019-07-06,10.0,1,0
31989484,Blissful Balcony Room,237421509,Lisa,Brooklyn,Bedford-Stuyvesant,40.67825,-73.92346,Private room,45,1,2,2019-03-07,0.39,2,0
1551044,Nexus of the Universe!,8261145,Tommy,Manhattan,Lower East Side,40.72317,-73.9929,Entire home/apt,175,3,105,2019-06-19,1.49,1,274
34313601,Large 1 BR *** Featured on This Old House,29659188,Kevin And Karen,Brooklyn,Prospect Heights,40.6774,-73.96864,Entire home/apt,279,2,11,2019-07-06,5.69,1,112
20529760,Excellent Double Room,1526757,Lay,Brooklyn,Bedford-Stuyvesant,40.68609,-73.9448,Private room,70,2,45,2019-06-21,1.96,3,350
4492821,"Great location, spacious apt.",743716,Santiago,Brooklyn,Boerum Hill,40.68348,-73.98087,Entire home/apt,120,3,3,2016-01-05,0.05,1,0
30423571,Bushwick Bedroom,228420131,Jonathan,Brooklyn,Bushwick,40.69456,-73.90714,Private room,35,2,7,2019-05-31,1.07,1,35
3344177,Park Slope Haven,10457196,Richard,Brooklyn,South Slope,40.6674,-73.98273,Entire home/apt,200,30,4,2019-06-28,0.18,11,282
13926549,Beautiful 1 Bedroom 2 blocks from Central Park,82719112,Adam,Manhattan,Upper West Side,40.78296,-73.97743,Entire home/apt,250,1,1,2016-08-14,0.03,1,0
9745484,"Sun-filled 1 Bdrm, Above Subway",7230698,Megan,Manhattan,Harlem,40.82749,-73.94329,Entire home/apt,102,5,20,2018-07-22,0.52,2,18
8014087,Prime location Chelsea/Flatiron RM,38857566,Gabi,Manhattan,Chelsea,40.74042,-73.99714,Private room,100,1,2,2018-01-01,0.04,1,0
36117267,convenient 5min away from jfk 20 min lga airport,129654782,Kevon,Queens,Richmond Hill,40.68978,-73.81468,Entire home/apt,150,3,0,,,1,179
13452474,Charming Studio-Columbus Circle/Hell’s Kitchen,16809858,Arman,Manhattan,Hell's Kitchen,40.76733,-73.98607,Entire home/apt,169,10,6,2018-10-14,0.17,1,280
29157211,Angeles aparment,95921282,Walter,Queens,Richmond Hill,40.68308,-73.81649,Entire home/apt,165,2,29,2019-06-24,3.23,1,362
3334850,Charming Quiet Apartment in NYC (安靜公寓),16838156,Mark,Manhattan,Kips Bay,40.73953,-73.98009,Entire home/apt,185,29,5,2018-07-03,0.08,1,2
8533225,Huge Duplex only minutes from NYC,1420715,Omar And Kareema,Brooklyn,Bushwick,40.68821,-73.9187,Entire home/apt,229,3,159,2019-06-16,3.54,3,231
13915699,Good Deal! Large Clean and Stylish 1Bedroom!,1279152,Alison,Brooklyn,Midwood,40.62803,-73.9675,Entire home/apt,75,3,6,2018-12-31,0.17,1,0
975229,Prime East Village location w/backyard garden!,5333736,Timothy,Manhattan,East Village,40.73055,-73.98875,Entire home/apt,159,4,65,2019-06-16,0.85,1,1
30565284,Great for family/friends! 2 bdrm duplex sleeps 6!,181651082,Fran,Queens,Rosedale,40.65861,-73.73672,Entire home/apt,135,1,5,2019-06-09,0.76,3,36
28041818,Bedroom Two  in Private House Near JFK Airport,206714649,Cando,Queens,South Ozone Park,40.67296,-73.79658,Private room,80,1,75,2019-07-05,9.34,3,57
22213389,Cinema Studio on Duplex Apt.,4667705,O. Xavier,Brooklyn,Bushwick,40.69787,-73.92703,Private room,85,1,59,2019-07-05,3.18,1,333
26074339,"Laid Back, Cozy 1-BR in Perfect Brooklyn Location",13811457,Jenita,Brooklyn,Bedford-Stuyvesant,40.68662,-73.95466,Entire home/apt,115,2,6,2018-11-14,0.56,1,6
1750679,THE LINCOLN PARLOR,9209820,Althea,Brooklyn,Crown Heights,40.66946,-73.95008,Entire home/apt,185,3,115,2019-06-08,2.09,3,314
12427898,NEW Modern Apartment w/ OutdoorDeck,67223979,Arkadiy,Brooklyn,Sunset Park,40.66482,-73.99609,Entire home/apt,199,1,164,2019-06-20,4.25,1,340
21857734,Williamsburg Private Room in 4 BR Apt off L train,20346657,Leah,Brooklyn,Williamsburg,40.70941,-73.93862,Private room,42,7,4,2019-03-25,0.22,1,53
12813206,Sunny Apartment Across from Sunset Park,7609268,Zoey,Brooklyn,Sunset Park,40.65038,-74.00551,Entire home/apt,99,3,25,2019-06-30,0.73,1,12
24337254,COZY THREE BEDROOM APT NEAR JFK AIRPORT,183633639,Nydia,Queens,Richmond Hill,40.69004,-73.83368,Entire home/apt,138,1,28,2019-06-22,1.88,1,347
35339100,Renovated  Master Bedroom 47 Buffalo 3F Room#1,260688089,Hui,Brooklyn,Bedford-Stuyvesant,40.67815,-73.92534,Private room,60,1,1,2019-06-30,1.0,2,147
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,2011-09-18,0.08,1,245
8595191,Greenwich Village Hotspot,19564640,Dave,Manhattan,Greenwich Village,40.73008,-74.0005,Entire home/apt,500,1,0,,,1,0
35389003,Live good live cheap in Manhattan,109231531,Sophia,Manhattan,Washington Heights,40.84414,-73.94099,Private room,90,1,0,,,2,179
8964008,Cozy Bed in Midtown Manhattan,18655157,Phuong,Manhattan,Midtown,40.74387,-73.98496,Shared room,55,5,5,2019-06-20,0.12,3,0
36109625,"THE BEST 1 bedroom apt in Astoria, seriously, best",93723961,Kevin,Queens,Astoria,40.76769,-73.91994,Entire home/apt,99,2,0,,,1,94
18774244,FURNISHED * ONE BED * DOORMAN * LUXURY * GYM *,60511673,Natie,Manhattan,Theater District,40.76044,-73.98321,Entire home/apt,399,10,0,,,1,64
30685679,Home in NYC 1 BR Apartment Midtown Retreat,2239610,Tanya,Manhattan,Hell's Kitchen,40.756,-73.99804,Entire home/apt,165,5,10,2019-07-06,1.47,1,31
33831113,Sonder | Stock Exchange | Vibrant 2BR + Sofa Bed,219517861,Sonder (NYC),Manhattan,Financial District,40.70713,-74.01205,Entire home/apt,255,2,4,2019-06-20,1.62,327,215
27059366,Your own 2 bedroom Home in NYC,97168718,Chloe,Manhattan,Upper West Side,40.78802,-73.97253,Entire home/apt,250,2,0,,,2,38
10015258,Beautiful sunny bedroom Upper West,5041830,Edna,Manhattan,Upper West Side,40.80137,-73.9615,Private room,80,3,1,2016-07-06,0.03,1,0
27139072,Sunny Private Suite in Luxury Building,95901692,Anthony,Brooklyn,Bedford-Stuyvesant,40.6875,-73.9588,Private room,150,1,36,2019-07-01,3.23,1,29
166172,LG Private Room/Family Friendly,792159,Wanda,Brooklyn,Bushwick,40.70283,-73.92131,Private room,60,3,480,2019-07-07,6.7,1,0
5793707,Lower East Side Minimalist Studio,8390853,Warren & Jessica,Manhattan,Lower East Side,40.7189,-73.99182,Entire home/apt,125,3,117,2019-06-23,2.29,1,228
7149408,Cozy private room in Manhattan,37440707,Jacqui,Manhattan,Upper West Side,40.79355,-73.97122,Private room,95,1,0,,,1,0
66741,Charming Garden Apt in Park Slope,327673,Stefano,Brooklyn,Park Slope,40.67732,-73.98225,Entire home/apt,150,2,214,2019-06-23,2.08,2,263
22009620,"Super Cute, Cozy, & Convenient...",160707142,Jamel,Brooklyn,East Flatbush,40.65046,-73.93633,Entire home/apt,85,2,23,2019-06-30,1.25,1,149
16487077,"East 29th Street, Luxury 1bd",22541573,Ken,Manhattan,Midtown,40.74593,-73.98687,Entire home/apt,200,30,0,,,87,365
35791289,Renta de Habitación a una cuadra de Central Park,29340158,Enrique,Manhattan,Upper West Side,40.79618,-73.96312,Private room,43,10,0,,,1,128
26981567,Queens New York 2 bedroom apartment,22780462,Mark,Queens,Kew Gardens Hills,40.72048,-73.81458,Entire home/apt,139,4,6,2019-05-21,0.58,2,282
16226066,Room near park · 2 stops to Manhattan on N/D train,29314677,Ignat,Brooklyn,Sunset Park,40.64832,-73.99913,Private room,64,1,87,2019-07-01,2.82,1,42
27369599,Large & Luxury Two Bedrooms Apartment on 34th St,45241930,Juline,Manhattan,Murray Hill,40.74416,-73.9727,Entire home/apt,175,29,5,2019-05-15,0.74,3,49
7771351,NYC Queen size Bedroom w/private  bathroom.,40877319,Ray,Bronx,Pelham Bay,40.84423,-73.83602,Private room,59,3,113,2019-06-06,2.42,1,290
35744524,Comfy house close to Central Brooklyn,258885293,Gedalia,Brooklyn,East Flatbush,40.65937,-73.9348,Private room,59,1,3,2019-07-06,3.0,1,343
1698334,Williamsburg off Bedford/no extra $ for 2ppl!,1562642,Molly,Brooklyn,Williamsburg,40.7138,-73.96251,Private room,82,2,144,2019-04-02,3.37,1,0
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,2019-03-23,0.49,1,209
32716275,Iconic renovated tenement apartment!,205764159,Sarah,Manhattan,Lower East Side,40.72202,-73.98858,Entire home/apt,170,2,1,2019-05-27,0.7,1,8
19958302,luxury for a discount,34447878,Elaine,Manhattan,Civic Center,40.71365,-74.0053,Entire home/apt,210,5,6,2018-09-22,0.26,1,0
35795817,Newly Furnished 2 Bed 1 Bath,61396454,Ash,Manhattan,Midtown,40.75508,-73.96379,Entire home/apt,220,30,0,,,14,343
22307078,Cozy studio in Gramercy,36163515,Margaret,Manhattan,Gramercy,40.73419,-73.98132,Entire home/apt,90,2,3,2018-07-23,0.17,1,0
32961700,Cute Apartment with a terrace near Central Park,12748942,Veronica Gallardo,Manhattan,Upper West Side,40.77912,-73.98029,Entire home/apt,220,30,1,2019-05-31,0.75,1,189
32492359,JFK LUXURY APARTMENT #B,244082709,Jfk,Queens,Springfield Gardens,40.65933,-73.77125,Entire home/apt,175,1,17,2019-07-03,3.75,7,160
16807749,Beautiful little bedroom + private living room,30529,Marianne,Brooklyn,Prospect Heights,40.67308,-73.96294,Private room,85,1,171,2019-06-23,5.85,2,215
10702865,Sunny and chic NYC apartment,55300400,Katherine,Manhattan,SoHo,40.72523,-74.00127,Entire home/apt,200,1,0,,,1,0
15037461,Williamsburg Couch on a Budget,1207773,Trista,Brooklyn,Williamsburg,40.70719,-73.95927,Shared room,37,1,12,2018-09-18,0.35,2,362
16407427,Bronx Cozy Spacious Room close to NYC Subway,9947836,Jenny,Bronx,Longwood,40.82441,-73.89454,Private room,50,3,61,2019-06-24,2.17,2,22
18716602,Charming 2brs w/ private garden in Carroll Gardens,62734,Kremer,Brooklyn,Gowanus,40.67862,-73.9923,Entire home/apt,120,30,2,2018-11-01,0.19,2,342
35193964,Breathtaking Balcony Views in the Big Apple,1461161,Sherwin,Manhattan,Murray Hill,40.74424,-73.9733,Entire home/apt,500,4,6,2019-07-07,5.62,1,138
34812124,Sunny New York Apartment w/ 2 Spacious Bedrooms!,131103134,Daniel,Manhattan,Upper East Side,40.77388,-73.9568,Entire home/apt,217,3,2,2019-06-19,1.67,1,235
17654611,Artsy Private Room in LIC. 2 min walk to Subway.,105372357,Lunara,Queens,Long Island City,40.74117,-73.94904,Private room,75,5,17,2019-06-09,0.61,1,112
17764355,"@Ferry,Loft,2Bdrm/4bed.Private,Renovated/Stylish",1715301,Mark,Staten Island,Tompkinsville,40.63568,-74.07826,Entire home/apt,75,4,117,2019-07-01,4.31,3,173
9778583,Private room in HUGE Apartment!,34351124,Rebekah,Brooklyn,Bedford-Stuyvesant,40.68768,-73.92069,Private room,75,1,1,2016-01-03,0.02,1,0
35460949,Sweet Home,69683180,Shuhua,Manhattan,Hell's Kitchen,40.76198,-74.00033,Entire home/apt,200,1,0,,,1,3
32820753,Brooklyn classy suite (7day minimum),246290852,Eddie,Brooklyn,Bedford-Stuyvesant,40.69417,-73.94734,Entire home/apt,110,7,8,2019-06-23,2.16,2,243
8986308,King Sized Bed Park Slope,21293445,Ryan,Brooklyn,Gowanus,40.66864,-73.99484,Private room,155,1,0,,,1,0
29058075,Quaint Bedroom in Forest Hills,1609077,Nadia,Queens,Forest Hills,40.7111,-73.84099,Private room,150,2,1,2019-01-07,0.16,3,365
7631585,Spacious Well Kept Apartment 5 min to Midtown,40034304,Finley,Queens,Long Island City,40.75203,-73.9361,Private room,80,3,8,2018-10-23,0.56,1,0
1807106,Stunning  Limestone  1 Bdrm Flat,9223085,Danielle,Brooklyn,Crown Heights,40.67191,-73.93997,Entire home/apt,135,3,190,2019-06-25,2.77,1,267
15685669,Private room in Williamsburg. Very close to train!,1314045,Tim,Brooklyn,Williamsburg,40.71326,-73.94947,Private room,99,1,220,2019-06-30,6.71,3,352
19622700,Upper west side - perfect feel at home place.,101262003,John,Manhattan,Upper West Side,40.78526,-73.97633,Private room,175,1,8,2018-11-08,0.35,2,90
13397786,"Huge bright room with own bathroom, Williamsburg",4445885,Alexandra,Brooklyn,Williamsburg,40.71685,-73.94668,Private room,85,5,0,,,1,0
23703345,Home Away From Home-2,147721837,Karen,Brooklyn,East New York,40.6663,-73.87448,Entire home/apt,139,3,25,2019-06-24,1.61,2,70
18610554,"Private bedroom, Queenbed on suite bath and closet",7055854,Diane,Manhattan,East Harlem,40.80141,-73.94341,Private room,2000,6,0,,,5,219
1316961,Huge Sunny Apt Hip/Family Area,772862,Jesse,Brooklyn,Clinton Hill,40.68645,-73.96587,Entire home/apt,160,3,24,2019-05-18,0.33,1,365
83722,Williamsburg penthouse with private roof cabana,456638,Sophie,Brooklyn,Williamsburg,40.7205,-73.96015,Entire home/apt,199,30,8,2018-08-26,0.11,1,30
9807059,A room of one's own near Columbia U,50526314,Kay,Manhattan,Morningside Heights,40.81047,-73.95735,Private room,63,1,0,,,1,0
7692326,Designer 5 BR home by Prospect Park,255597,Cassandra,Brooklyn,Crown Heights,40.66465,-73.95372,Entire home/apt,225,3,105,2019-06-30,2.28,1,94
9769817,Eclectic space in Prime Williamsburg,50374022,Elana,Brooklyn,Williamsburg,40.71162,-73.9639,Entire home/apt,125,5,13,2017-01-02,0.31,2,0
435946,SUNNY ZEN  FULL SERVICE HUGE STUDIO,2165711,Alda,Manhattan,Financial District,40.70917,-74.0146,Entire home/apt,208,6,100,2019-06-14,1.14,1,310
21907036,Private room in cozy Bushwick House,33195820,Ignacio,Brooklyn,Bushwick,40.70027,-73.91268,Private room,36,21,0,,,1,0
35287395,Room # 5 Near from JFK & LGA Diner 7/24 open,258589420,Diego,Queens,Richmond Hill,40.68936,-73.83357,Shared room,60,1,4,2019-07-07,4.0,7,365
21695338,"Spacious, Bright & Cozy 1-bedroom in Greenpoint",8652278,Brady,Brooklyn,Greenpoint,40.7347,-73.95479,Entire home/apt,87,4,1,2017-12-27,0.05,1,0
11981509,COLUMBIA PRESBYTERIAN MED CTR *ARIA* 1 Bedroom Apt,25237492,Juliana,Manhattan,Washington Heights,40.84216,-73.94101,Entire home/apt,95,30,7,2018-02-04,0.19,34,322
20486011,"Queen w/Private Bath, steps from Central Park !",76729714,Maddy,Manhattan,Harlem,40.79971,-73.95175,Private room,70,4,3,2017-11-05,0.13,1,0
32240970,Sonder | Stock Exchange | Dashing 1BR + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70584,-74.01039,Entire home/apt,215,2,3,2019-06-13,0.77,327,317
11775483,Sunny little Nook in NYC!,116382,Anthony,Brooklyn,Crown Heights,40.66898,-73.94209,Private room,35,3,165,2019-04-10,4.09,5,272
14296598,Art-filled bright spacious loft prime Wburg Brklyn,14942276,Susan,Brooklyn,Williamsburg,40.71932,-73.95649,Entire home/apt,249,3,99,2019-06-13,2.87,2,239
27832008,Private 1BR with Private Bathroom feet from subway,104607422,Tunde,Manhattan,Harlem,40.83005,-73.93992,Entire home/apt,119,1,29,2019-06-30,3.02,1,103
25773391,Beautiful Room in Fort Greene,3687035,Abeyu,Brooklyn,Fort Greene,40.68464,-73.97094,Private room,75,3,9,2019-07-03,0.75,1,7
30084221,"Live in the heart of East Village, Manhatan",44642799,Judith,Manhattan,East Village,40.72818,-73.98075,Entire home/apt,225,3,2,2019-01-03,0.31,1,0
